Web Exception :

Need To Fix Count : 249
Report
Checked	NO	Method	TestDescription	RequestBody	Your Response	CorrectResponse
Checked	Sports-3-5	GetBetStatus	Get-bet-status-again-should-void	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"875476","TransactionId":"875476","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"875476","TransactionId":"875476","Status":"Void","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 875476, TransactionId: 875476, Status: Void
Checked	Sports-3-6	Cancel	2nd-time-cancel-should-be-failed	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"875476","ProductType":1,"GameType":1,"IsCancelAll":true,"TransactionId":"875476","Gpid":-1,"ExtraInfo":{"sportType":"Soccer","marketType":"Handicap","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"HomeTeam","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":false}}	{"AccountName":"swrun_1780089828793_831710","Balance":500,"ErrorCode":2002,"ErrorMessage":"Already canceled"}	Values should be: ErrorCode: 2002
Need to fix !	Sports-3-7	GetBalance	Get-balance-again-should-same-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"490.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 500.00
Checked	Sports-3-8	GetBetStatus	Get-bet-status-again-should-void	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"875476","TransactionId":"875476","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"875476","TransactionId":"875476","Status":"Void","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 875476, TransactionId: 875476, Status: Void
Checked	Sports-3-9	Deduct	Deduct-after-cancelled-should-be-failed	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","Amount":10.0,"TransferCode":"875476","TransactionId":"875476","BetTime":"2026-05-29T17:41:20.89829-04:00","ProductType":1,"GameType":1,"GameRoundId":null,"GamePeriodId":null,"OrderDetail":null,"PlayerIp":null,"GameTypeName":null,"Gpid": -1,"GameId": 0,"ExtraInfo":{"sportType":"Soccer","marketType":"Handicap","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"HomeTeam","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":false}}	{"AccountName":"swrun_1780089828793_831710","Balance":500,"ErrorCode":5003,"ErrorMessage":"Duplicate transaction"}	Values should be: ErrorCode: 5003
Checked	Sports-3-10	GetBalance	Get-balance-again-should-same-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"500.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 500.00
Checked	Sports-3-11	GetBetStatus	Get-bet-status-again-should-void	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"875476","TransactionId":"875476","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"875476","TransactionId":"875476","Status":"Void","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 875476, TransactionId: 875476, Status: Void
Checked	Sports-3-12	Settle	Settle-after-cancel-should-be-failed	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","TransferCode":"875476","WinLoss":30.0,"ResultType":0,"ResultTime":"2026-05-29T17:41:21.89829-04:00","ProductType":1,"GameType":1,"GameResult":null,"CommissionStake":0,"Gpid":-1,"IsCashOut":false,"ExtraInfo":{"sportType":"Soccer","marketType":"Handicap","league":"SWTest-LeaguaName","match":"SWTest-HomeTeam vs SWTest-AwayTeam","betOption":"HomeTeam","kickoffTime":"2026-05-29T17:41:15","isHalfWonLose":true}}	{"AccountName":"swrun_1780089828793_831710","Balance":500,"ErrorCode":2002,"ErrorMessage":"Already canceled"}	Values should be: ErrorCode: 2002
Checked	Sports-3-13	GetBalance	Get-balance-again-should-same-balance	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C","Username":"SWRUN_1780089828793_831710","ProductType":1,"GameType":1,"Gpid":-1}	{"AccountName":"swrun_1780089828793_831710","Balance":"500.00","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, AccountName: SWRUN_1780089828793_831710, Balance: 500.00
Checked	Sports-3-14	GetBetStatus	Get-bet-status-again-should-void	{"CompanyKey":"AC5568ADDCB94EEFA56BC4BCB2600C8C", "Username":"SWRUN_1780089828793_831710", "TransferCode":"875476","TransactionId":"875476","ProductType":1,"GameType":1,"Gpid":-1}	{"TransferCode":"875476","TransactionId":"875476","Status":"Void","ErrorCode":"0","ErrorMessage":"No Error"}	Values should be: ErrorCode: 0, TransferCode: 875476, TransactionId: 875476, Status: Void
